"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT08"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-01","2.46",,"0.00",,"64","43","   10","   30","8.1","11.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-02","2.01",,"0.00",,"65","47","  270","   30","6.0","8.9",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-03","0.67",,"0.00",,"62","44","  150","  150","10.1","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-04","1.34",,"0.01",,"69","55","  270","  280","8.1","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-05","2.46",,"1.61",,"59","49","  140","  140","10.1","16.1","    1","    1",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-06","2.91",,"0.80",,"58","46","   80","  290","12.1","17.0","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-07","1.79",,"0.30",,"59","45","   20","   10","10.1","18.1","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-08","2.24",,"0.00",,"62","44","  280","  340","8.1","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-09","1.12",,"0.00",,"60","46","   90","  100","6.0","10.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-10","1.12",,"0.00",,"62","51","  270","  270","6.9","10.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-11","0.22",,"0.00",,"64","47","  260","  280","6.9","12.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-12","1.57",,"0.00",,"70","46","  270","  270","10.1","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-13","0.22",,"0.00",,"66","43","  280","  270","6.9","11.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-14","1.57",,"0.00",,"65","50","  270","  280","8.1","13.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-15","1.12",,"0.00",,"65","50","  270","  120","6.0","8.9","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-16","1.12",,"0.00",,"67","54","  280","  270","8.1","11.0","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-17","1.12",,"0.00",,"68","49","  270","  270","8.9","15.0","    1","    1","    1"
